Date,Open,High,Low,Close,Volume,OpenInt
1962-01-02,0.6277,0.6362,0.6201,0.6201,2575579,0
1962-01-03,0.6201,0.6201,0.6122,0.6201,1764749,0
1962-01-04,0.6201,0.6201,0.6037,0.6122,2194010,0
1962-01-05,0.6122,0.6122,0.5798,0.5957,3255244,0
1962-01-08,0.5957,0.5957,0.5716,0.5957,3696430,0
1962-01-09,0.5957,0.6037,0.5878,0.5957,2778285,0
1962-01-10,0.5957,0.6037,0.5957,0.5957,2337096,0
1962-01-11,0.5957,0.5957,0.5878,0.5957,1943605,0
1962-01-12,0.5957,0.6037,0.5878,0.5878,2015151,0
1962-01-15,0.5957,0.5957,0.5957,0.5957,2527879,0
1962-01-16,0.5957,0.6037,0.5957,0.6037,1657434,0
1962-01-17,0.6037,0.6037,0.5878,0.5878,2551729,0
1962-01-18,0.5878,0.5957,0.5878,0.5957,1764749,0
1962-01-19,0.5957,0.6037,0.5957,0.6037,1585893,0
1962-01-22,0.6037,0.6122,0.6037,0.6037,1693206,0
1962-01-23,0.6037,0.6037,0.5878,0.5878,2718664,0
1962-01-24,0.5878,0.6037,0.5878,0.6037,1907836,0
1962-01-25,0.6037,0.6037,0.5957,0.5957,1895910,0
1962-01-26,0.5957,0.5957,0.5957,0.5957,1204322,0
1962-01-29,0.5957,0.5957,0.5957,0.5957,1216242,0
1962-01-30,0.6037,0.6122,0.6037,0.6037,2122467,0
1962-01-31,0.6037,0.6277,0.6037,0.6277,2241705,0
1962-02-01,0.6277,0.6277,0.6122,0.6201,3064461,0
1962-02-02,0.6201,0.6201,0.6201,0.6201,1764749,0
1962-02-05,0.6201,0.6201,0.6122,0.6122,1681280,0
1962-02-06,0.6122,0.6201,0.6122,0.6201,1240089,0
1962-02-07,0.6201,0.6277,0.6201,0.6277,2015151,0
1962-02-08,0.6277,0.6277,0.6201,0.6277,2098620,0
1962-02-09,0.6277,0.6277,0.6201,0.6277,1800521,0
1962-02-12,0.6277,0.6277,0.6201,0.6277,977764,0
1962-02-13,0.6277,0.6362,0.6277,0.6362,1442802,0
1962-02-14,0.6362,0.6442,0.6362,0.6362,1931684,0
1962-02-15,0.6362,0.652,0.6362,0.6442,2229783,0
1962-02-16,0.6442,0.652,0.6362,0.6442,2790211,0
1962-02-19,0.6442,0.6442,0.6362,0.6362,1860141,0
1962-02-20,0.6362,0.6362,0.6277,0.6362,1275864,0
1962-02-21,0.6362,0.6442,0.6277,0.6362,1287786,0
1962-02-23,0.6362,0.6362,0.6277,0.6277,1943605,0
1962-02-26,0.6277,0.6277,0.6122,0.6201,1502420,0
1962-02-27,0.6201,0.6277,0.6201,0.6277,1108929,0
1962-02-28,0.6277,0.6277,0.6201,0.6201,1979380,0
1962-03-01,0.6277,0.6362,0.6277,0.6362,1085082,0
1962-03-02,0.6362,0.6442,0.6362,0.6362,1502420,0
1962-03-05,0.6362,0.6442,0.6362,0.6362,1657434,0
1962-03-06,0.6362,0.6362,0.6277,0.6277,1120852,0
1962-03-07,0.6277,0.6362,0.6277,0.6362,1204322,0
1962-03-08,0.6362,0.6442,0.6277,0.6442,2110543,0
1962-03-09,0.6442,0.652,0.6442,0.652,2360947,0
1962-03-12,0.652,0.652,0.652,0.652,2515956,0
1962-03-13,0.652,0.652,0.6442,0.652,1538193,0
1962-03-14,0.652,0.652,0.6442,0.6442,1299713,0
1962-03-15,0.6442,0.652,0.6442,0.652,2253633,0
1962-03-16,0.652,0.652,0.652,0.652,1240089,0
1962-03-19,0.652,0.652,0.6442,0.6442,1323560,0
1962-03-20,0.6442,0.6442,0.6442,0.6442,1013536,0
1962-03-21,0.6442,0.6442,0.6442,0.6442,1919760,0
1962-03-22,0.6442,0.6442,0.6442,0.6442,1216242,0
1962-03-23,0.6442,0.652,0.6442,0.652,1526268,0
1962-03-26,0.652,0.652,0.6362,0.6362,1383181,0
1962-03-27,0.6362,0.6442,0.6362,0.6442,1490499,0
1962-03-28,0.6442,0.652,0.6442,0.652,1585893,0
1962-03-29,0.652,0.652,0.6442,0.6442,1395103,0
1962-03-30,0.6442,0.652,0.6362,0.6442,1752823,0
1962-04-02,0.6362,0.6362,0.6362,0.6362,1359331,0
1962-04-03,0.6362,0.6362,0.6277,0.6277,2027074,0
1962-04-04,0.6277,0.6362,0.6277,0.6277,1633584,0
1962-04-05,0.6277,0.6362,0.6277,0.6362,2110543,0
1962-04-06,0.6362,0.6362,0.6277,0.6362,1681280,0
1962-04-09,0.6362,0.6362,0.6277,0.6277,1418951,0
1962-04-10,0.6277,0.6277,0.6201,0.6201,1705127,0
1962-04-11,0.6201,0.6277,0.6037,0.6122,1502420,0
1962-04-12,0.6122,0.6122,0.6037,0.6037,1717049,0
1962-04-13,0.6122,0.6277,0.6122,0.6201,2039000,0
1962-04-16,0.6201,0.6201,0.6122,0.6201,1812443,0
1962-04-17,0.6201,0.6201,0.6201,0.6201,1717049,0
1962-04-18,0.6201,0.6201,0.6122,0.6201,4209159,0
1962-04-19,0.6201,0.6201,0.6122,0.6201,1216242,0
1962-04-23,0.6201,0.6201,0.6122,0.6122,2062844,0
1962-04-24,0.6122,0.6122,0.6122,0.6122,2659046,0
1962-04-25,0.6122,0.6122,0.6037,0.6037,2635197,0
1962-04-26,0.6037,0.6122,0.5957,0.6037,1717049,0
1962-04-27,0.6037,0.6122,0.5878,0.5878,2551729,0
1962-04-30,0.5878,0.5957,0.5634,0.5716,3302941,0
1962-05-01,0.5716,0.5878,0.5634,0.5878,3803747,0
1962-05-02,0.5878,0.5957,0.5878,0.5878,3469873,0
1962-05-03,0.5957,0.5957,0.5957,0.5957,3720277,0
1962-05-04,0.5957,0.6037,0.5957,0.5957,2360947,0
1962-05-07,0.5957,0.5957,0.5878,0.5878,2492110,0
1962-05-08,0.5878,0.5878,0.5878,0.5878,1848214,0
1962-05-09,0.5878,0.5878,0.5878,0.5878,2611348,0
1962-05-10,0.5878,0.5957,0.5798,0.5878,3159852,0
1962-05-11,0.5878,0.5878,0.5716,0.5798,4626501,0
1962-05-14,0.5798,0.5878,0.5716,0.5878,3612965,0
1962-05-15,0.5878,0.5957,0.5878,0.5878,3136005,0
1962-05-16,0.5878,0.5878,0.5878,0.5878,2074770,0
1962-05-17,0.5878,0.5957,0.5878,0.5878,965841,0
1962-05-18,0.5957,0.5957,0.5957,0.5957,2241705,0
1962-05-21,0.5957,0.5957,0.5957,0.5957,1657434,0
1962-05-22,0.5957,0.5957,0.5798,0.5798,2015151,0
1962-05-23,0.5716,0.5716,0.5634,0.5634,2635197,0
1962-05-24,0.5634,0.5716,0.5555,0.5634,3398332,0
1962-05-25,0.5634,0.5634,0.5393,0.5476,3040613,0
1962-05-28,0.5476,0.5476,0.5154,0.5233,5055765,0
1962-05-29,0.5233,0.5476,0.49892,0.5393,9312619,0
1962-05-31,0.5476,0.5555,0.5476,0.5476,5186925,0
1962-06-01,0.5476,0.5555,0.5393,0.5476,3267166,0
1962-06-04,0.5476,0.5476,0.5233,0.5233,2408643,0
1962-06-05,0.5233,0.5393,0.5233,0.5313,3791825,0
1962-06-06,0.5313,0.5476,0.5313,0.5313,2623274,0
1962-06-07,0.5393,0.5476,0.5393,0.5393,1263940,0
1962-06-08,0.5393,0.5476,0.5393,0.5393,1597811,0
1962-06-11,0.5393,0.5476,0.5393,0.5393,1407027,0
1962-06-12,0.5313,0.5313,0.5074,0.5154,3267166,0
1962-06-13,0.5154,0.5233,0.5074,0.5074,3314862,0
1962-06-14,0.5074,0.5233,0.5074,0.5074,691590,0
1962-06-15,0.5074,0.5233,0.49892,0.5233,4185313,0
1962-06-18,0.5233,0.5233,0.5074,0.5154,2682892,0
1962-06-19,0.5154,0.5154,0.5074,0.5154,1526268,0
1962-06-20,0.5074,0.5074,0.49892,0.49892,2933295,0
1962-06-21,0.49892,0.49892,0.48319,0.48319,3636810,0
1962-06-22,0.48319,0.48319,0.45902,0.45902,3970681,0
1962-06-25,0.45902,0.4669,0.45114,0.4669,5520796,0
1962-06-26,0.4669,0.47509,0.45902,0.45902,4042228,0
1962-06-27,0.45902,0.4669,0.45902,0.4669,2122467,0
1962-06-28,0.47509,0.49111,0.47509,0.49111,3136005,0
1962-06-29,0.49111,0.49892,0.49111,0.49892,2623274,0
1962-07-02,0.49892,0.5313,0.49111,0.5233,2360947,0
1962-07-03,0.5233,0.5313,0.5154,0.5233,3803747,0
1962-07-05,0.5233,0.5313,0.5233,0.5313,2098620,0
1962-07-06,0.5313,0.5313,0.5154,0.5233,1860141,0
1962-07-09,0.5233,0.5313,0.5154,0.5313,2074770,0
1962-07-10,0.5313,0.5476,0.5233,0.5313,3505649,0
1962-07-11,0.5313,0.5313,0.5233,0.5313,1728976,0
1962-07-12,0.5393,0.5476,0.5393,0.5393,2921372,0
1962-07-13,0.5393,0.5393,0.5233,0.5393,2313250,0
1962-07-16,0.5313,0.5313,0.5313,0.5313,1180470,0
1962-07-17,0.5313,0.5313,0.5233,0.5233,1562041,0
1962-07-18,0.5154,0.5154,0.5074,0.5154,1860141,0
1962-07-19,0.5154,0.5233,0.5154,0.5233,1800521,0
1962-07-20,0.5233,0.5313,0.5233,0.5233,1204322,0
1962-07-23,0.5233,0.5313,0.5233,0.5313,1156624,0
1962-07-24,0.5313,0.5313,0.5233,0.5233,1180470,0
1962-07-25,0.5233,0.5233,0.5074,0.5233,1097003,0
1962-07-26,0.5233,0.5313,0.5233,0.5313,1490499,0
1962-07-27,0.5313,0.5393,0.5233,0.5313,1740902,0
1962-07-30,0.5313,0.5393,0.5313,0.5393,1263940,0
1962-07-31,0.5393,0.5555,0.5393,0.5555,3422176,0
1962-08-01,0.5555,0.5555,0.5476,0.5476,1705127,0
1962-08-02,0.5476,0.5555,0.5476,0.5555,1407027,0
1962-08-03,0.5555,0.5555,0.5555,0.5555,1836293,0
1962-08-06,0.5555,0.5555,0.5476,0.5476,1836293,0
1962-08-07,0.5476,0.5476,0.5476,0.5476,1907836,0
1962-08-08,0.5476,0.5476,0.5393,0.5476,1240089,0
1962-08-09,0.5476,0.5555,0.5476,0.5476,1418951,0
1962-08-10,0.5476,0.5555,0.5476,0.5555,1848214,0
1962-08-13,0.5555,0.5555,0.5476,0.5476,1454724,0
1962-08-14,0.5476,0.5634,0.5476,0.5634,2599427,0
1962-08-15,0.5634,0.5634,0.5555,0.5634,1800521,0
1962-08-16,0.5634,0.5634,0.5634,0.5634,1621660,0
1962-08-17,0.5634,0.5716,0.5634,0.5634,1740902,0
1962-08-20,0.5634,0.5798,0.5634,0.5634,1848214,0
1962-08-21,0.5634,0.5716,0.5634,0.5634,1395103,0
1962-08-22,0.5716,0.5798,0.5716,0.5798,1776671,0
1962-08-23,0.5798,0.5798,0.5798,0.5798,1728976,0
1962-08-24,0.5798,0.5798,0.5634,0.5634,2444411,0
