Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,23.122,23.495,22.964,23.434,1799314,0
2005-02-28,23.384,23.448,23.067,23.177,2267562,0
2005-03-01,23.202,23.607,23.202,23.535,2072350,0
2005-03-02,23.425,23.67,23.306,23.607,1777398,0
2005-03-03,23.59,23.639,23.344,23.4,1584080,0
2005-03-04,23.479,23.758,23.384,23.71,2219705,0
2005-03-07,23.607,23.838,23.495,23.726,2171850,0
2005-03-08,23.622,23.773,23.582,23.622,1619217,0
2005-03-09,23.526,23.718,23.479,23.526,1803847,0
2005-03-10,23.551,23.702,23.4,23.512,1983189,0
2005-03-11,23.425,23.503,23.256,23.313,2013919,0
2005-03-14,23.306,23.425,23.162,23.226,2047542,0
2005-03-15,23.306,23.479,23.202,23.226,1867069,0
2005-03-16,23.168,23.319,22.971,23.018,1325401,0
2005-03-17,23.018,23.084,22.812,22.948,2403197,0
2005-03-18,22.955,23.084,22.71,23.067,3722049,0
2005-03-21,23.067,23.306,22.979,23.202,1632819,0
2005-03-22,23.202,23.479,23.107,23.297,2556341,0
2005-03-23,23.384,23.559,23.177,23.273,2083435,0
2005-03-24,23.185,23.289,23.035,23.051,1514562,0
2005-03-28,23.226,23.313,23.153,23.177,1119611,0
2005-03-29,23.185,23.368,22.979,23.075,1889486,0
2005-03-30,23.067,23.289,22.908,23.146,1919714,0
2005-03-31,23.122,23.162,22.827,22.866,2391231,0
2005-04-01,22.875,22.948,22.748,22.925,2217813,0
2005-04-04,22.925,23.282,22.827,23.115,2503698,0
2005-04-05,23.13,23.471,22.994,23.384,1882812,0
2005-04-06,23.425,23.526,23.249,23.376,2076003,0
2005-04-07,23.384,23.694,23.384,23.543,2128017,0
2005-04-08,23.622,23.622,23.407,23.425,1743897,0
2005-04-11,23.479,23.622,23.448,23.598,1308772,0
2005-04-12,23.543,23.78,23.434,23.694,1577909,0
2005-04-13,23.646,23.702,23.107,23.168,1989860,0
2005-04-14,23.146,23.234,22.748,22.859,3310599,0
2005-04-15,22.669,22.836,22.16,22.234,3072065,0
2005-04-18,22.25,22.377,22.074,22.25,2573594,0
2005-04-19,22.25,22.294,21.931,22.082,2005982,0
2005-04-20,21.978,22.137,21.811,21.828,1881803,0
2005-04-21,21.875,21.996,21.541,21.719,3176345,0
2005-04-22,21.676,22.019,21.574,21.793,2520446,0
2005-04-25,21.94,22.034,21.793,21.94,1631939,0
2005-04-26,21.931,22.051,21.74,21.74,2329269,0
2005-04-27,21.676,22.386,21.66,22.287,3425710,0
